0,coğrafya,0.288
0,lise,0.322
0,öğretmen,0.258
1,ix,0.346
1,materyal,0.39
2,kalkınmak,0.603
3,afet,0.378
3,cbs,0.432
3,teknoloji,0.342
4,tekne,0.341
4,yeniay,0.341
4,çamburnu,0.341
5,fırtına,0.566
5,rüzgâr,0.324
6,lapseki,0.576
7,tuzla,0.689
8,meyve,0.636
9,şelâle,0.423
10,köy,0.537
11,afet,0.407
11,geçici,0.426
11,iskân,0.447
12,artırmak,0.378
12,verim,0.454
12,üretim,0.37
13,bitkisel,0.351
13,sanayii,0.371
13,yağ,0.351
14,göl,0.822
15,mağara,0.708
16,turizm,0.594
17,göç,0.243
17,kasaba,0.289
17,pülümür,0.427
18,deniz,0.283
18,karadeniz,0.264
18,su,0.344
18,ürün,0.283
19,anket,0.529
20,ekoturizm,0.551
21,kavram,0.406
21,mevsim,0.47
22,mağara,0.648
23,ova,0.374
23,yöre,0.242
23,çelikhan,0.351
24,normal,0.331
24,taşkın,0.552
25,coğrafya,0.279
25,standart,0.56
26,fındık,0.807
27,hazar,0.507
27,kayak,0.476
28,aile,0.218
28,bölge,0.312
28,yüksek,0.207
29,dağlık,0.628
30,amerikan,0.377
30,peyzaj,0.475
31,coğrafya,0.518
32,boğaz,0.365
32,gülek,0.455
33,nüfus,0.294
33,sayım,0.628
34,kayısı,0.682
35,bölge,0.317
35,nüfus,0.421
35,yaş,0.264
36,gürün,0.555
36,step,0.222
36,tohm,0.222
37,yanılgı,0.322
37,öğrenci,0.389
38,köy,0.247
38,yayla,0.646
39,alet,0.343
39,imalât,0.358
39,yatağan,0.429
40,baraj,0.454
41,kaynak,0.352
41,termal,0.413
42,isparta,0.375
42,kent,0.417
42,kor,0.339
43,karayolu,0.475
44,coğrafya,0.404
44,eğitim,0.439
45,erfelek,0.417
45,çağlayan,0.625
46,arı,0.611
46,erzincan,0.255
47,yangın,0.602
48,fındık,0.414
48,inmek,0.226
48,yetişmek,0.23
49,alan,0.232
49,karstik,0.682
50,sanayi,0.561
51,yöntem,0.441
52,akdam,0.419
52,aras,0.311
52,heyelân,0.476
53,sanayi,0.431
53,tesis,0.414
54,akçaabat,0.277
54,fonksiyon,0.328
54,şehir,0.383
55,bilişim,0.212
55,ilişki,0.281
55,olay,0.367
55,teknoloji,0.221
56,antalya,0.318
56,komisyon,0.303
56,tüccar,0.327
56,yaş,0.289
57,ders,0.262
57,lisans,0.259
57,tez,0.279
58,kalkınmak,0.626
59,kırıkhan,0.683
60,kemah,0.54
61,karşı,0.316
61,tehlike,0.451
61,yerleşim,0.299
62,beceri,0.572
62,öğrenci,0.399
63,kadın,0.615
64,tutum,0.658
65,kümbet,0.355
65,yayla,0.661
66,belen,0.283
66,geçit,0.496
66,ülke,0.342
67,arazi,0.471
67,kullanım,0.464
68,kır,0.263
68,nüfus,0.478
68,zor,0.244
69,aşkale,0.259
69,deprem,0.449
69,hasar,0.33
70,mağara,0.577
70,zeytintaşı,0.331
71,materyal,0.48
71,öğretim,0.374
72,sembol,0.545
72,şehir,0.362
73,kasaba,0.536
73,maden,0.415
74,burdur,0.216
74,ilçe,0.231
74,nüfus,0.42
74,ortalama,0.227
75,avlu,0.548
76,ilgi,0.459
76,öğrenci,0.362
77,kent,0.468
77,pazar,0.506
78,yomra,0.613
79,konut,0.57
80,kaplıca,0.403
80,termal,0.336
81,haşhaş,0.668
82,faaliyet,0.309
82,kamp,0.288
82,spor,0.277
83,ada,0.611
83,kent,0.304
84,görüş,0.36
84,öğrenci,0.379
84,öğretmen,0.396
85,karst,0.574
86,tuzla,0.686
87,süs,0.471
88,iklim,0.229
88,yağmak,0.356
88,çizmek,0.257
89,fon,0.367
89,kalkınmak,0.407
89,kır,0.411
90,turizm,0.719
91,heyelân,0.338
91,risk,0.417
92,fizikî,0.338
92,kir,0.266
92,mekân,0.302
92,önlemek,0.292
93,coğrafya,0.335
93,eğitim,0.486
93,yayın,0.289
94,problem,0.357
94,ulaşım,0.398
95,kanola,0.548
95,yağ,0.343
96,bor,0.689
97,edirne,0.508
97,göç,0.413
98,cereyan,0.412
98,ileti,0.412
99,afet,0.248
99,sel,0.52
100,sinop,0.565
101,dağ,0.349
101,nur,0.391
102,ilçe,0.461
103,kent,0.375
103,yeşil,0.448
104,doğal,0.218
104,ekoturizm,0.28
104,turizm,0.469
105,kafkas,0.453
105,ülke,0.451
106,pancar,0.563
106,şeker,0.563
107,deprem,0.54
107,şehir,0.296
108,afet,0.558
109,kış,0.222
109,turizm,0.56
109,yayla,0.222
110,mülteci,0.772
111,davraz,0.349
111,kayak,0.314
111,turizm,0.395
112,kutlamak,0.438
112,nevruz,0.438
113,silaj,0.689
114,senklinal,0.335
114,tünemek,0.452
115,işlemek,0.439
115,tarım,0.497
116,kriter,0.388
116,şehir,0.441
117,artvin,0.335
117,baraj,0.558
118,inşa,0.331
118,konut,0.436
118,kültür,0.444
119,gecekondu,0.547
119,konut,0.188
120,deniz,0.37
120,iklim,0.322
120,konfor,0.335
121,coğrafya,0.253
121,program,0.593
122,orman,0.575
123,algı,0.326
123,kırmak,0.363
123,şehir,0.501
124,kiraz,0.685
124,uluborlu,0.261
125,girişim,0.228
125,turistik,0.264
125,turizm,0.341
125,yayla,0.264
126,birim,0.352
126,demiryolu,0.548
126,yerleşim,0.288
127,ada,0.749
128,nüfus,0.484
128,sayım,0.358
129,süreç,0.296
129,şehir,0.499
130,kartuş,0.623
131,devlet,0.17
131,keşif,0.178
131,latin,0.178
131,medeniyet,0.165
131,spanya,0.267
131,sömürge,0.267
132,etnos,0.538
132,roman,0.431
133,amasya,0.33
133,bamya,0.495
134,bilim,0.439
134,popüler,0.475
134,yayın,0.448
135,lima,0.486
135,yük,0.343
135,zonguldak,0.429
136,amerikan,0.348
136,coğrafya,0.327
136,eser,0.313
137,heyelân,0.507
138,düzey,0.303
138,yaşantı,0.444
138,öğrenmek,0.344
139,kaya,0.34
139,kayabeyli,0.306
139,kurmak,0.239
139,çığ,0.268
140,endeks,0.481
140,net,0.505
141,ana,0.206
141,karstik,0.219
141,kaya,0.236
141,kesim,0.276
141,saha,0.231
142,göl,0.667
143,araştırmak,0.261
143,buyan,0.223
143,yöntem,0.257
143,öğretim,0.261
144,olumsuz,0.283
144,saha,0.225
144,sosyal,0.241
145,inşa,0.381
145,konut,0.563
146,faaliyet,0.246
146,konut,0.234
146,turizm,0.289
146,şehir,0.261
147,havza,0.339
147,köprü,0.458
147,ulaşım,0.291
148,bilecik,0.287
148,gölpazarı,0.246
148,kasaba,0.222
148,merkez,0.256
148,yerleşmek,0.26
149,beceri,0.338
149,ders,0.317
149,düşünmek,0.335
149,öğrenci,0.283
150,materyal,0.455
151,belediye,0.385
151,kent,0.46
152,bira,0.294
152,üretim,0.288
152,şerbetçiotu,0.588
153,mağara,0.504
153,turizm,0.399
153,çal,0.325
154,ifade,0.568
155,kiraz,0.782
156,konut,0.478
156,yerleşmek,0.339
157,hes,0.237
157,reşadiye,0.28
157,santral,0.475
157,su,0.182
158,arazi,0.389
158,kıyı,0.503
159,kültürel,0.224
159,miras,0.315
159,safranbolu,0.334
159,turizm,0.378
160,kırmak,0.503
160,yerleşmek,0.489
161,nüfus,0.542
162,fındık,0.281
162,tarım,0.426
162,çay,0.255
162,ürün,0.273
163,fakülte,0.504
163,öğrenci,0.352
164,taşköprü,0.308
164,yayla,0.677
165,fındık,0.602
166,deney,0.532
166,kavram,0.333
167,pazar,0.663
168,ders,0.368
168,materyal,0.607
169,gercanis,0.331
169,kaza,0.435
169,kuruçay,0.331
170,göç,0.573
170,osmaneli,0.505
171,görüşme,0.333
171,sınıf,0.316
171,öğretmen,0.473
172,değişim,0.418
172,yayla,0.537
173,ahşap,0.209
173,mimarî,0.266
173,seren,0.399
173,çatı,0.319
174,aktivite,0.329
174,dışlamak,0.253
174,sosyal,0.31
174,ulaşım,0.251
175,heyelân,0.647
176,deneyim,0.324
176,kent,0.332
177,inanç,0.616
178,dondurma,0.467
179,nüfus,0.436
179,oran,0.437
180,doğal,0.211
180,iklim,0.214
180,kilis,0.251
180,risk,0.263
180,sel,0.263
180,şehir,0.299
181,faaliyet,0.25
181,sanayi,0.254
181,tarım,0.364
181,şehir,0.303
182,yat,0.671
183,ulaşım,0.665
183,şehir,0.379
184,ilköğretim,0.308
184,öğrenci,0.287
185,havza,0.353
185,su,0.434
186,demre,0.585
186,çay,0.373
187,coğrafi,0.387
187,işaret,0.6
188,haçka,0.406
188,turizm,0.284
