0,dem,0.54
0,çay,0.504
1,ans,0.365
1,lb,0.58
2,ca,0.647
2,pcos,0.429
3,cpsa,0.348
3,pca,0.406
3,psa,0.348
3,tpsa,0.406
4,boi,0.258
4,koi,0.258
4,mkl,0.258
4,su,0.297
4,tçk,0.258
4,yeraltı,0.258
5,enerji,0.236
5,hücre,0.422
5,lösemi,0.223
5,metabolizma,0.242
5,promyelositik,0.34
6,mutasyon,0.411
6,tümör,0.483
7,koenzim,0.365
7,q10,0.386
7,yaş,0.392
8,eritropoietin,0.571
8,na,0.438
9,aspirin,0.516
9,txb2,0.477
10,enzim,0.27
10,saf,0.243
10,serin,0.387
11,laktik,0.653
11,may,0.273
11,özüt,0.303
12,sigara,0.584
13,mezun,0.612
13,phd,0.306
14,amilaz,0.703
15,flow,0.264
15,fsm,0.396
15,sitometri,0.264
16,mecp2,0.342
16,mutasyon,0.325
16,rett,0.342
16,sendrom,0.3
17,antioksidan,0.214
17,diyabet,0.342
17,düzenlemek,0.235
17,enzim,0.191
18,desitabin,0.333
18,kombinasyon,0.291
18,metilasyon,0.493
19,kolit,0.552
19,tedavi,0.259
20,antioksidan,0.344
20,indirgemek,0.312
20,radikal,0.328
21,igg,0.662
22,ekonazolün,0.404
22,ht29,0.303
22,hücre,0.274
23,karl,0.281
23,keşif,0.281
23,landsteiner,0.421
24,hipertansiyon,0.423
24,lisinopril,0.362
25,adma,0.432
25,arjinin,0.396
25,ra,0.359
26,belirsiz,0.7
26,değer,0.306
27,mdr1,0.642
28,aromataz,0.537
29,biyodizel,0.452
29,fusarium,0.362
30,boya,0.462
30,gidermek,0.564
31,hkh,0.361
31,hücre,0.244
31,kültür,0.212
32,mersin,0.366
32,tekrar,0.458
33,cobas,0.292
33,integra,0.314
33,interferans,0.275
33,kazanım,0.275
34,kinaz,0.597
35,dna,0.404
35,etoposit,0.409
35,onarım,0.271
36,adma,0.421
36,homosistein,0.311
36,huvec,0.252
36,inos,0.252
36,no,0.27
37,androjen,0.507
37,reseptör,0.492
38,adma,0.387
38,hba1c,0.646
39,lpin1,0.335
39,mets,0.558
40,immobilizasyon,0.329
40,lipazın,0.412
41,cf,0.595
42,nos3,0.389
42,nsclp,0.466
42,toplum,0.375
42,vntr,0.311
43,besleme,0.377
43,fermentasyon,0.341
43,vasat,0.397
44,faz,0.213
44,hat,0.2
44,hücre,0.439
44,saklamak,0.222
45,enfeksiyon,0.284
45,postoperatif,0.536
46,enzim,0.369
46,esteraz,0.258
46,karar,0.315
46,saf,0.408
47,alcl3,0.285
47,ellagik,0.538
48,mlc1,0.397
48,mlc3,0.397
49,santrifüj,0.634
49,ısı,0.343
50,alg,0.5
50,amino,0.304
50,biyokütle,0.315
50,yetişmek,0.315
51,ekstre,0.513
51,ic50,0.44
52,enzim,0.29
52,vasat,0.283
52,üretim,0.359
53,kkh,0.263
53,ppar,0.526
54,hb,0.393
54,hba1c,0.443
54,varyant,0.341
55,ar,0.315
55,gentamicin,0.376
55,reçine,0.376
55,tavşan,0.315
56,antimikrobiyal,0.48
56,gram,0.328
57,esansiyel,0.382
57,thymus,0.423
57,vulgaris,0.353
58,cinsiyet,0.303
58,mnsod,0.47
58,sıçan,0.433
59,apt,0.47
59,tip,0.356
60,pgi,0.249
60,tk1111,0.623
61,god,0.242
61,kinetik,0.42
61,matematik,0.242
61,model,0.28
62,hepatit,0.47
62,karaciğer,0.326
62,toksik,0.453
63,bakteriorodopsin,0.472
63,film,0.437
64,arıtım,0.335
64,etanol,0.39
65,fare,0.525
66,laboratuvar,0.344
66,yeterli,0.324
66,çalıştay,0.269
67,analjezik,0.46
67,bmk,0.526
68,ar,0.578
68,mineral,0.37
69,dergi,0.259
69,makale,0.237
69,yayın,0.365
69,yayınlamak,0.274
70,bulanık,0.371
70,diskriminant,0.494
70,doğru,0.406
71,alt,0.309
71,boyamak,0.237
71,e380q,0.27
71,mutasyon,0.257
71,ünite,0.237
72,ekspiratuvar,0.289
72,karboksihemoglobin,0.289
72,sensiviteli,0.337
72,tepe,0.289
73,ksilanaz,0.234
73,muamele,0.233
73,orman,0.409
73,selülaz,0.256
74,durum,0.28
74,hidatik,0.392
74,kist,0.392
74,total,0.299
75,enzim,0.352
75,mg,0.359
75,pseudomonas,0.328
75,üretim,0.327
76,ekstre,0.618
77,clea,0.395
77,çapraz,0.397
78,aktivite,0.291
78,enzim,0.309
78,mrs,0.258
78,oc,0.194
79,belirsiz,0.439
79,gct,0.375
80,ankilozan,0.394
80,sialik,0.542
81,mbl,0.727
82,al2o3,0.388
82,partikül,0.51
82,sisplatin,0.388
83,asimetrik,0.518
83,dimetilarjinin,0.57
84,esas,0.191
84,model,0.184
84,substrat,0.179
84,yapı,0.286
84,üreaz,0.441
85,fugene,0.388
85,transfeksiyon,0.48
85,vdkh,0.388
86,albumin,0.443
86,ilâç,0.344
86,salı,0.294
87,mycn,0.383
87,nöroblastom,0.319
87,p14arf,0.511
88,arjinin,0.449
88,egzersiz,0.619
89,paraoksonaz,0.371
89,pon2,0.385
89,ser311cys,0.308
90,kordon,0.421
90,vitamin,0.48
91,dnaz,0.602
91,ii,0.251
92,beslenen,0.237
92,fraksiyon,0.448
92,gradiyent,0.256
92,kolesterol,0.267
93,füzyon,0.539
94,bağlamak,0.353
94,dna,0.513
94,interkalasyon,0.408
95,dismutaz,0.214
95,istakoz,0.236
95,katalaz,0.236
95,peroksidaz,0.214
95,saat,0.2
95,su,0.251
95,tatlı,0.219
96,doğum,0.404
96,mif,0.322
96,servikovaginal,0.322
97,fraksiyon,0.362
97,midye,0.413
98,hakem,0.743
99,pta,0.581
99,saprophyticus,0.291
100,a252g,0.306
100,alel,0.355
100,diyabet,0.381
101,deltametrin,0.381
101,kalp,0.414
101,trogii,0.305
102,akciğer,0.263
102,asetilsalisilat,0.327
102,endotelyal,0.327
102,vasküler,0.315
103,saf,0.357
103,selülaz,0.199
103,selülazın,0.341
104,pept1,0.562
105,alfa,0.504
105,inhibitör,0.335
105,sinyal,0.33
106,havalanmak,0.405
106,hücre,0.329
106,karışmak,0.377
107,kadmiyum,0.481
107,kurşun,0.481
108,ülser,0.549
109,asn2,0.24
109,bakteri,0.26
109,cellulomonas,0.24
109,selülaz,0.49
109,tanım,0.24
110,edta,0.516
110,trombosit,0.369
111,aspirin,0.433
111,grup,0.283
112,aurita,0.359
112,uçmak,0.504
113,dental,0.261
113,dişeti,0.261
113,periodontal,0.261
113,protez,0.323
113,ret,0.261
114,egzersiz,0.641
115,enzim,0.359
115,kinetik,0.327
115,mekanizma,0.252
116,gen,0.259
116,hemosiyanin,0.45
117,yetişkin,0.363
117,çocuk,0.544
118,demir,0.371
118,ferritin,0.341
118,folat,0.316
118,referans,0.299
119,ir,0.659
120,antibakteriyal,0.307
120,baz,0.273
120,şift,0.383
121,havuz,0.289
121,hemoliz,0.289
121,kinaz,0.289
121,kreatin,0.273
121,miyoglobin,0.311
121,troponin,0.289
122,alkalen,0.262
122,biyoinformatik,0.388
122,gen,0.258
123,oksit,0.316
123,profil,0.312
123,radikal,0.29
123,temizlemek,0.299
123,termal,0.299
124,ang,0.441
124,mapk,0.454
124,p38,0.392
125,faktör,0.371
125,kâh,0.411
125,mthfr,0.274
125,xiiia,0.274
126,cdnb,0.36
126,µm,0.316
127,etanol,0.387
127,çinko,0.491
128,caulerpenyne,0.541
128,ksantin,0.316
129,bmt4i,0.379
129,saf,0.238
129,üretim,0.281
130,haptoglobin,0.51
130,serum,0.342
130,yaş,0.366
131,grup,0.364
131,lep,0.499
131,stres,0.384
132,filtrasyon,0.375
132,formül,0.344
132,glomerüler,0.449
133,hıv,0.532
133,kuşak,0.365
134,değer,0.258
134,medya,0.545
135,kanser,0.44
135,kolorektal,0.485
136,anket,0.272
136,anne,0.195
136,baba,0.233
136,grup,0.198
136,kadın,0.227
136,prolaktin,0.389
136,tutum,0.233
137,ayakkabı,0.371
137,imalât,0.371
138,beta,0.351
138,bez,0.315
138,dönüşmek,0.304
138,tükürük,0.315
138,yara,0.293
139,adezyon,0.434
139,oktadekanoik,0.281
140,sle,0.419
140,ssc,0.539
141,albumin,0.245
141,kompleks,0.347
141,mo,0.256
141,ph,0.295
141,sığır,0.271
142,mukus,0.622
143,rekombinant,0.359
143,xyi,0.557
144,antikor,0.318
144,artrit,0.349
144,ra,0.302
144,sa,0.326
145,bileşen,0.215
145,gliserol,0.211
145,kazeinat,0.211
145,soğuk,0.294
145,üretim,0.235
146,dr,0.274
146,mertebe,0.274
146,model,0.212
146,tetrasiklin,0.365
146,yalan,0.254
147,nadh,0.442
147,tk1392,0.442
148,aminotransferaz,0.339
148,hepatit,0.435
148,kronik,0.34
149,kemik,0.32
149,opg,0.288
149,rankl,0.403
149,seviye,0.323
150,d3,0.376
150,hplc,0.268
150,kemiluminesans,0.282
150,ria,0.282
150,yöntem,0.323
151,baş,0.295
151,laktasyon,0.392
151,laktasyonun,0.566
151,süt,0.305
152,bilirubin,0.569
152,koenzim,0.332
152,q10,0.352
153,düzey,0.292
153,tiroit,0.567
154,kemik,0.464
154,transferaz,0.429
154,üriner,0.332
155,a1c,0.275
155,dansiteli,0.432
155,tolerans,0.275
156,kan,0.403
156,örnek,0.365
157,fancd2,0.389
157,olgu,0.379
158,h2o2,0.405
158,mao,0.554
159,camp,0.402
159,muskarinik,0.482
159,reseptör,0.374
160,girişim,0.267
160,karar,0.294
160,yönerge,0.288
161,dna,0.387
161,gammarus,0.369
161,mitokondrial,0.369
161,çoğalmak,0.287
162,hdl,0.732
163,besin,0.285
163,mantar,0.316
163,yenmek,0.266
164,oksidatif,0.277
164,teofilin,0.303
164,xo,0.424
165,bikarbonat,0.318
165,gaz,0.255
165,kan,0.28
165,ölçüm,0.299
166,hepatit,0.342
166,siroz,0.526
167,gy,0.396
167,ışımak,0.44
168,kng1,0.396
168,sh,0.475
169,lipoksijenaz,0.442
169,nepeta,0.332
169,uçmak,0.436
170,aşı,0.588
171,cat,0.445
171,migren,0.559
172,adma,0.261
172,arjinaz,0.312
172,böbrek,0.352
172,doku,0.325
172,endotoksemi,0.312
173,grup,0.395
173,pon,0.45
173,sk,0.342
174,hücre,0.333
174,ras,0.485
175,jaffe,0.411
175,kreatin,0.388
175,yöntem,0.364
176,esansiyel,0.305
176,tür,0.218
176,yağ,0.298
177,belirsiz,0.513
177,test,0.291
177,ölçüm,0.303
178,tavşan,0.31
178,yara,0.55
179,antiperoksidatif,0.239
179,caja,0.318
179,cajanus,0.318
179,glutatyon,0.238
179,indükte,0.239
180,bölge,0.224
180,varyant,0.449
181,koh,0.455
181,lignin,0.379
182,bap,0.314
182,kallus,0.314
182,varyasyon,0.276
183,karbon,0.49
183,tetraklorür,0.521
184,apoptozis,0.355
184,ölüm,0.311
184,örn,0.444
185,miyokart,0.342
185,sialik,0.449
186,molekül,0.226
186,peptid,0.228
186,polielektrolit,0.284
187,hidrojeller,0.312
187,ilâç,0.304
187,ph,0.262
187,salınım,0.362
188,formül,0.269
188,limit,0.493
189,fenilalanin,0.629
189,immobilize,0.284
190,grup,0.317
190,taurin,0.474
190,tümör,0.416
191,dehidrogenaz,0.388
191,olgu,0.56
192,evre,0.346
192,floresans,0.32
192,hidroklorür,0.355
193,ck18,0.397
193,folfiri,0.318
193,ölüm,0.348
194,harmonizasyon,0.45
194,laboratuvar,0.336
194,standardizasyon,0.394
195,sinoviyal,0.48
195,sıvı,0.352
195,viskozite,0.36
196,etanol,0.305
196,sitrik,0.51
196,üretim,0.306
